Rank,City,Country,Extra Info,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Description,imgsrc,imgurl,DescriptionB
35,Vancouver, Canada,,177.37,91.28,64.19,73.31,72.7,13.12,43.32,25.53,91.56,"Vancouver, a bustling west coast seaport in British Columbia, is among Canada�s densest, most ethnically diverse cities. A popular filming location, it�s surrounded by mountains, and also has thriving art, theatre and music scenes. Vancouver Art Gallery is known for its works by regional artists, while the Museum of Anthropology houses preeminent First Nations collections.",https://tce-live2.s3.amazonaws.com/media/media/340f222f-3c14-448b-bad6-ff65916e83b1.jpg,"https://res.cloudinary.com/simpleview/image/upload/c_fill,f_auto,h_1110,q_50,w_1920/v1/clients/vancouverbc/Reasons-to-Visit_ba76cf9b-4987-4091-85f4-a61fc6da40d0.jpg","Vancouver, a bustling west coast seaport in British Columbia, is among Canada  is densest, most ethnically diverse cities. A popular filming location, it  is surrounded by mountains, and also has thriving art, theatre and music scenes. Vancouver Art Gallery is known for its works by regional artists, while the Museum of Anthropology houses preeminent First Nations collections."
36,Tampa, United States, FL,176.22,100.2,55.39,68.82,75.75,3.75,32.08,23.27,62.74,"Tampa is a city on Tampa Bay, along Florida�s Gulf Coast. A major business center, it�s also known for its museums and other cultural offerings. Busch Gardens is an African-themed amusement park with thrill rides and animal-viewing areas. The historic Ybor City neighborhood, developed by Cuban and Spanish cigar-factory workers at the turn of the 20th century, is a dining and nightlife destination.",https://www.tampagov.net/sites/default/files/cityoftampa-night-skyline.jpg,,"Tampa is a city on Tampa Bay, along Florida  is Gulf Coast. A major business center, it  is also known for its museums and other cultural offerings. Busch Gardens is an African-themed amusement park with thrill rides and animal-viewing areas. The historic Ybor City neighborhood, developed by Cuban and Spanish cigar-factory workers at the turn of the 20th century, is a dining and nightlife destination."
37,Amsterdam, Netherlands,,176.19,90.41,67.4,72.78,78.01,10.36,27.86,32.08,77,"Amsterdam is the Netherlands� capital, known for its artistic heritage, elaborate canal system and narrow houses with gabled facades, legacies of the city�s 17th-century Golden Age. Its Museum District houses the Van Gogh Museum, works by Rembrandt and Vermeer at the Rijksmuseum, and modern art at the Stedelijk. Cycling is key to the city�s character, and there are numerous bike paths.",http://www.nationalgeographic.com/content/dam/travel/2017-digital/amsterdam-bar-hopping/canal-amsterdam-the-netherlands.adapt.1900.1.jpg,,"Amsterdam is the Netherlands  i capital, known for its artistic heritage, elaborate canal system and narrow houses with gabled facades, legacies of the city  is 17th-century Golden Age. Its Museum District houses the Van Gogh Museum, works by Rembrandt and Vermeer at the Rijksmuseum, and modern art at the Stedelijk. Cycling is key to the city  is character, and there are numerous bike paths."
38,Glasgow, United Kingdom,,175.59,103.45,52.75,87.45,68.91,5,45.11,29.95,68.32,"Glasgow is a port city on the River Clyde in Scotland's western Lowlands. It's famed for its Victorian and art nouveau architecture, a rich legacy of the city's 18th_20th-century prosperity due to trade and shipbuilding. Today it's a national cultural hub, home to institutions including the Scottish Opera, Scottish Ballet and National Theatre of Scotland, as well as acclaimed museums and a thriving music scene.",https://media.timeout.com/images/101727323/image.jpg,,"Glasgow is a port city on the River Clyde in Scotland's western Lowlands. It's famed for its Victorian and art nouveau architecture, a rich legacy of the city's 18th_20th-century prosperity due to trade and shipbuilding. Today it's a national cultural hub, home to institutions including the Scottish Opera, Scottish Ballet and National Theatre of Scotland, as well as acclaimed museums and a thriving music scene."
39,Sydney, Australia,,174.77,109.23,59.76,72,86.03,12.4,42.3,28.68,84.56,"Sydney, capital of New South Wales and one of Australia's largest cities, is best known for its harbourfront Sydney Opera House, with a distinctive sail-like design. Massive Darling Harbour and the smaller Circular Quay port are hubs of waterside life, with the arched Harbour Bridge and esteemed Royal Botanic Garden nearby. Sydney Tower�s outdoor platform, the Skywalk, offers 360-degree views of the city and suburbs.",http://www.minorhotels.com/~/media/minor/oaks/images/australia/new-south-wales/sydney/teaser/sydney-hotels-near-opera-house-darling-harbour-nsw-australia.jpg,,"Sydney, capital of New South Wales and one of Australia's largest cities, is best known for its harbourfront Sydney Opera House, with a distinctive sail-like design. Massive Darling Harbour and the smaller Circular Quay port are hubs of waterside life, with the arched Harbour Bridge and esteemed Royal Botanic Garden nearby. Sydney Tower  is outdoor platform, the Skywalk, offers 360-degree views of the city and suburbs."
40,Helsinki, Finland,,174.73,110.6,72.85,74.64,78.35,10.31,35.97,18.04,40.43,"Helsinki, Finland�s southern capital, sits on a peninsula in the Gulf of Finland. Its central avenue, Mannerheimintie, is flanked by institutions including the National Museum, tracing Finnish history from the Stone Age to the present. Also on Mannerheimintie are the imposing Parliament House and Kiasma, a contemporary art museum. Ornate red-brick Uspenski Cathedral overlooks a harbor.",https://www.helsinki.fi/sites/default/files/thumbnails/image/helsinki.jpg,,"Helsinki, Finland  is southern capital, sits on a peninsula in the Gulf of Finland. Its central avenue, Mannerheimintie, is flanked by institutions including the National Museum, tracing Finnish history from the Stone Age to the present. Also on Mannerheimintie are the imposing Parliament House and Kiasma, a contemporary art museum. Ornate red-brick Uspenski Cathedral overlooks a harbor."
41,Berlin, Germany,,174.73,116.11,63.28,78.7,64.18,8.84,32.42,42.15,62.3,"Berlin, Germany�s capital, dates to the 13th century. Reminders of the city's turbulent 20th-century history include its Holocaust memorial and the Berlin Wall's graffitied remains. Divided during the Cold War, its 18th-century Brandenburg Gate has become a symbol of reunification. The city's also known for its art scene and modern landmarks like the gold-colored, swoop-roofed Berliner Philharmonie, built in 1963.",http://www.telegraph.co.uk/content/dam/Travel/Cruise/river-spree-berlin-xlarge.jpg,,"Berlin, Germany  is capital, dates to the 13th century. Reminders of the city's turbulent 20th-century history include its Holocaust memorial and the Berlin Wall's graffitied remains. Divided during the Cold War, its 18th-century Brandenburg Gate has become a symbol of reunification. The city's also known for its art scene and modern landmarks like the gold-colored, swoop-roofed Berliner Philharmonie, built in 1963."
42,Halifax, Canada,,174.11,94.86,54.21,75.33,76.49,5.76,27,21.66,55.85,"Halifax, an Atlantic Ocean port in eastern Canada, is the provincial capital of Nova Scotia. A major business centre, it�s also known for its maritime history. The city�s dominated by the hilltop Citadel, a star-shaped fort completed in the 1850s. Waterfront warehouses known as the Historic Properties recall Halifax�s days as a trading hub for privateers, notably during the War of 1812.",http://www.piyaotravel.com/image/data/sightseeing/halifax/halifax2.jpg,,"Halifax, an Atlantic Ocean port in eastern Canada, is the provincial capital of Nova Scotia. A major business centre, it  is also known for its maritime history. The city  is dominated by the hilltop Citadel, a star-shaped fort completed in the 1850s. Waterfront warehouses known as the Historic Properties recall Halifax  is days as a trading hub for privateers, notably during the War of 1812."
43,Auckland, New Zealand,,172.51,102.2,54.38,69.72,83.9,10.09,39.87,28.57,84.79,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand�s North Island. In the centre, the iconic Sky Tower has views of Viaduct Harbour, which is full of superyachts and lined with bars and cafes. Auckland Domain, the city�s oldest park, is based around an extinct volcano and home to the formal Wintergardens. Near Downtown, Mission Bay Beach has a seaside promenade.",http://yoganonymous.com/system/image_assets/images/000/028/372/original/The_Yogis_Guide_to_Auckland_New_Zealand.jpg?1461951563,,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand  is North Island. In the centre, the iconic Sky Tower has views of Viaduct Harbour, which is full of superyachts and lined with bars and cafes. Auckland Domain, the city  is oldest park, is based around an extinct volcano and home to the formal Wintergardens. Near Downtown, Mission Bay Beach has a seaside promenade."
44,Toronto, Canada,,171.72,115.94,65.06,72.59,70.3,8.5,42.37,41.48,70.35,"Toronto, the capital of the province of Ontario, is a major Canadian city along Lake Ontario�s northwestern shore. It's a dynamic metropolis with a core of soaring skyscrapers, all dwarfed by the iconic CN Tower. Toronto also has many green spaces, from the orderly oval of Queen�s Park to 400-acre High Park and its trails, sports facilities and zoo.",https://wallpaperscraft.com/image/canada_night_water_tower_lights_toronto_13686_3840x2400.jpg,,"Toronto, the capital of the province of Ontario, is a major Canadian city along Lake Ontario  is northwestern shore. It's a dynamic metropolis with a core of soaring skyscrapers, all dwarfed by the iconic CN Tower. Toronto also has many green spaces, from the orderly oval of Queen  is Park to 400-acre High Park and its trails, sports facilities and zoo."
45,Gdansk, Poland,,171.53,72.08,68.78,62.88,39.06,10.07,26.35,31.03,69.82,"Gdansk (Danzig in German) is a port city on the Baltic coast of Poland. At the center of its Main Town, reconstructed after WWII, are the colorful facades of Long Market, now home to shops and restaurants. Nearby is Neptune Fountain, a 17th-century symbol of the city topped by a bronze statue of the sea god. Gda_sk is also a center for the world�s amber trade; boutiques throughout the city sell the ossified resin.",http://static.thousandwonders.net/Gdansk.original.29931.jpg,http://www.corkairport.com/images/default-source/default-album/_0005_harbor-at-motlawa-river-with-old-town-of-gdansk-in-poland,"Gdansk (Danzig in German) is a port city on the Baltic coast of Poland. At the center of its Main Town, reconstructed after WWII, are the colorful facades of Long Market, now home to shops and restaurants. Nearby is Neptune Fountain, a 17th-century symbol of the city topped by a bronze statue of the sea god. Gda_sk is also a center for the world  is amber trade; boutiques throughout the city sell the ossified resin."
46,Reykjavik, Iceland,,170.92,77.42,75.92,66.79,111.59,6.37,20.62,11.96,44.53,"Reykjavik, on the coast of Iceland, is the country's capital and largest city. It's home to the National and Saga museums, tracing Iceland�s Viking history. The striking concrete Hallgrimskirkja church and rotating Perlan glass dome offer sweeping views of the sea and nearby hills. Exemplifying the island�s volcanic activity is the geothermal Blue Lagoon spa, near the village of Grindavik.",http://imglib.abenteuer-rb.de/imglib.php?type=2&id=1558_4094&w=746&h=496&auto=1,,"Reykjavik, on the coast of Iceland, is the country's capital and largest city. It's home to the National and Saga museums, tracing Iceland  is Viking history. The striking concrete Hallgrimskirkja church and rotating Perlan glass dome offer sweeping views of the sea and nearby hills. Exemplifying the island  is volcanic activity is the geothermal Blue Lagoon spa, near the village of Grindavik."
47,Frankfurt, Germany,,170.6,114.94,60.89,71.49,75.21,8.87,27.58,37.27,56.25,"Frankfurt, a central German city on the river Main, is a major financial hub that's home to the European Central Bank. It's the birthplace of famed writer Johann Wolfgang von Goethe, whose former home is now the Goethe House Museum. Like much of the city, it was damaged during World War II and later rebuilt. The reconstructed Altstadt (Old Town) is the site of R_merberg, a square that hosts an annual Christmas market.",http://presidential-aviation.com/wp-content/uploads/page/private-jet-charter-to-frankfurt-germany.jpg,,"Frankfurt, a central German city on the river Main, is a major financial hub that's home to the European Central Bank. It's the birthplace of famed writer Johann Wolfgang von Goethe, whose former home is now the Goethe House Museum. Like much of the city, it was damaged during World War II and later rebuilt. The reconstructed Altstadt (Old Town) is the site of R_merberg, a square that hosts an annual Christmas market."
48,Mangalore, India,,169.52,106.45,82.49,78.77,21.92,5.15,30.86,18.45,-17.12,"Mangalore (or Mangaluru) is an Arabian Sea port and a major commercial center in the Indian state of Karnataka. It's home to the Kadri Manjunath Temple, known for its bronze statues, and the 9th-century Mangaladevi Temple. Its Catholic sites include Milagres Church, dating to the 17th century, and St. Aloysious Chapel, which features interior paintings. Tannirbhavi Beach is popular for its sunset views.",http://markcujakblog.com/wp-content/uploads/2016/02/Mangalore-Gokarnanath-Temple-1024x768.jpg,,"Mangalore (or Mangaluru) is an Arabian Sea port and a major commercial center in the Indian state of Karnataka. It's home to the Kadri Manjunath Temple, known for its bronze statues, and the 9th-century Mangaladevi Temple. Its Catholic sites include Milagres Church, dating to the 17th century, and St. Aloysious Chapel, which features interior paintings. Tannirbhavi Beach is popular for its sunset views."
49,Calgary, Canada,,169.1,116.66,67.15,69.55,75.21,5.7,37.09,24.65,33.53,"Calgary, a cosmopolitan Alberta city with numerous skyscrapers, owes its rapid growth to its status as the centre of Canada�s oil industry. However, it�s still steeped in the western culture that earned it the nickname �Cowtown,� evident in the Calgary Stampede, its massive July rodeo and festival that grew out of the farming exhibitions once presented here.",https://gezi-media.s3.amazonaws.com/media/blog_images/07c58b4572f644c08abe2f3caa717fcf.jpg,,"Calgary, a cosmopolitan Alberta city with numerous skyscrapers, owes its rapid growth to its status as the centre of Canada  is oil industry. However, it  is still steeped in the western culture that earned it the nickname �Cowtown,� evident in the Calgary Stampede, its massive July rodeo and festival that grew out of the farming exhibitions once presented here."
50,Hamburg, Germany,,168.7,106.88,52.01,82.92,75.76,9.56,33.81,27.52,53.48,"Hamburg, a major port city in northern Germany, is connected to the North Sea by the Elbe River. It's crossed by hundreds of canals, and also contains large areas of parkland. Near its core, Inner Alster lake is dotted with boats and surrounded by cafes. The city's central Jungfernstieg boulevard connects the Neustadt (new town) with the Altstadt (old town), home to landmarks like 18th-century St. Michael�s Church.",http://68.media.tumblr.com/e26b925e48c8d7b1e5e34f7aa55ccadb/tumblr_nz6s1iiJ131sivccmo1_1280.jpg,,"Hamburg, a major port city in northern Germany, is connected to the North Sea by the Elbe River. It's crossed by hundreds of canals, and also contains large areas of parkland. Near its core, Inner Alster lake is dotted with boats and surrounded by cafes. The city's central Jungfernstieg boulevard connects the Neustadt (new town) with the Altstadt (old town), home to landmarks like 18th-century St. Michael  is Church."
51,Ljubljana, Slovenia,,168.45,72.23,75.93,64.43,58.74,11.48,25.7,27.53,60.5,"Ljubljana is Slovenia's capital and largest city. It's known for its university population and green spaces, including expansive Tivoli Park. The curving Ljubljanica River, lined in outdoor cafes, divides the city's old town from its commercial hub. Ljubljana has many museums, including the National Museum of Slovenia, displaying historic exhibitions, and the Museum of Modern Art, home to 20th-century Slovene paintings and sculptures.",http://travelslovenia.org/wp-content/uploads/2015/11/ljubljana-old-town-slovenia-04.jpg,,"Ljubljana is Slovenia's capital and largest city. It's known for its university population and green spaces, including expansive Tivoli Park. The curving Ljubljanica River, lined in outdoor cafes, divides the city's old town from its commercial hub. Ljubljana has many museums, including the National Museum of Slovenia, displaying historic exhibitions, and the Museum of Modern Art, home to 20th-century Slovene paintings and sculptures."
52,Porto, Portugal,,167.69,66.31,56.14,75.33,48.72,9.27,31.85,40.52,89.84,"Porto is a coastal city in northwest Portugal known for its stately bridges and port wine production. In the medieval Ribeira (riverside) district, narrow cobbled streets wind past merchants� houses and cafes. S�o Francisco Church is known for its lavish baroque interior with ornate gilded carvings. The palatial 19th-century Pal�cio de Bolsa, formerly a stock market, was built to impress potential European investors.",https://static.independent.co.uk/s3fs-public/thumbnails/image/2016/02/05/13/porto-alamy.jpg,,"Porto is a coastal city in northwest Portugal known for its stately bridges and port wine production. In the medieval Ribeira (riverside) district, narrow cobbled streets wind past merchants  i houses and cafes. S�o Francisco Church is known for its lavish baroque interior with ornate gilded carvings. The palatial 19th-century Pal�cio de Bolsa, formerly a stock market, was built to impress potential European investors."
53,Lisbon, Portugal,,167.53,61.33,66.94,68.03,50.47,14.74,34.27,34.26,94.26,"Lisbon is Portugal�s hilly, coastal capital city. From imposing S�o Jorge Castle, the view encompasses the old city�s pastel-colored buildings, Tagus Estuary and Ponte 25 de Abril suspension bridge. Nearby, the National Azulejo Museum displays 5 centuries of decorative ceramic tiles. Just outside Lisbon is a string of Atlantic beaches, from Cascais to Estoril.",http://images.huffingtonpost.com/2016-07-15-1468602234-3546256-Estatua_de_Don_Jos_I_Plaza_del_Comercio_Lisboa_Portugal.jpg,,"Lisbon is Portugal  is hilly, coastal capital city. From imposing S�o Jorge Castle, the view encompasses the old city  is pastel-colored buildings, Tagus Estuary and Ponte 25 de Abril suspension bridge. Nearby, the National Azulejo Museum displays 5 centuries of decorative ceramic tiles. Just outside Lisbon is a string of Atlantic beaches, from Cascais to Estoril."
54,Rotterdam, Netherlands,,166.8,100.43,59.08,77.61,71.92,5.83,31.83,40.74,58.68,"Rotterdam is a major port city in the Dutch province of South Holland. The Maritime Museum's vintage ships and exhibits trace the city's seafaring history. The 17th-century Delfshaven neighborhood is home to canalside shopping and Pilgrim Fathers Church, where pilgrims worshiped before sailing to America. After being almost completely reconstructed following WWII, the city is now known for bold, modern architecture.",https://www.maastrichtuniversity.nl/file/rotterdamjpg,,"Rotterdam is a major port city in the Dutch province of South Holland. The Maritime Museum's vintage ships and exhibits trace the city's seafaring history. The 17th-century Delfshaven neighborhood is home to canalside shopping and Pilgrim Fathers Church, where pilgrims worshiped before sailing to America. After being almost completely reconstructed following WWII, the city is now known for bold, modern architecture."
55,Atlanta, United States, GA,166.55,148.36,35.19,65.63,76.09,2.74,39.03,54.6,74.47,"Atlanta is the capital of the U.S. state of Georgia. It played an important part in both the Civil War and the 1960s Civil Rights Movement. Atlanta History Center chronicles the city's past, and the Martin Luther King Jr. National Historic Site is dedicated to the African-American leader�s life and times. Downtown, Centennial Olympic Park, built for the 1996 Olympics, encompasses the massive Georgia Aquarium.",https://www.dentons.com/-/media/images/website/background-images/offices/atlanta/atlanta_2.jpg,,"Atlanta is the capital of the U.S. state of Georgia. It played an important part in both the Civil War and the 1960s Civil Rights Movement. Atlanta History Center chronicles the city's past, and the Martin Luther King Jr. National Historic Site is dedicated to the African-American leader  is life and times. Downtown, Centennial Olympic Park, built for the 1996 Olympics, encompasses the massive Georgia Aquarium."
56,Riyadh, Saudi Arabia,,166.53,148.29,79.19,70.1,47.79,2.38,40.27,71.06,38.04,"Riyadh, Saudi Arabia�s capital and main financial hub, is on a desert plateau in the country�s center. Business district landmarks include the 302m-high Kingdom Centre, with a sky bridge connecting 2 towers, and 267m-high Al Faisaliah Centre, with a glass-globe summit. In the historical Deira district, Masmak Fort marks the site of the 1902 raid that gave the Al Sauds control of Riyadh.",http://diveprice.com/wp-content/uploads/2016/06/Riyadh.jpg,,"Riyadh, Saudi Arabia  is capital and main financial hub, is on a desert plateau in the country  is center. Business district landmarks include the 302m-high Kingdom Centre, with a sky bridge connecting 2 towers, and 267m-high Al Faisaliah Centre, with a glass-globe summit. In the historical Deira district, Masmak Fort marks the site of the 1902 raid that gave the Al Sauds control of Riyadh."
57,Brno, Czech Republic,,166.42,75.76,71.51,75.87,41.16,10.47,26.18,46.3,65.35,"Brno is a city in the Czech Republic. It�s known for its modernist buildings, like the restored Villa Tugendhat, completed in 1930 by architect Mies van der Rohe. The medieval _pilberk Castle houses a city museum, gardens and a former prison with vaulted tunnels. The Cathedral of St. Peter and Paul has baroque altars, a 14th-century statue of the Madonna and Child, and city views from its steeple.",http://ling.ulstu.ru/linguistics/resourses/student_works/czech/gallery/3.jpg,,"Brno is a city in the Czech Republic. It  is known for its modernist buildings, like the restored Villa Tugendhat, completed in 1930 by architect Mies van der Rohe. The medieval _pilberk Castle houses a city museum, gardens and a former prison with vaulted tunnels. The Cathedral of St. Peter and Paul has baroque altars, a 14th-century statue of the Madonna and Child, and city views from its steeple."
58,Tallinn, Estonia,,165.57,68.76,76.98,68.42,51.37,11.42,28.52,21.16,44.56,"Tallinn, Estonia�s capital on the Baltic Sea, is the country�s cultural hub. It retains its walled, cobblestoned Old Town, home to cafes and shops, as well as Kiek in de K_k, a 15th-century defensive tower. Its Gothic Town Hall, built in the 13th century and with a 64m-high tower, sits in historic Tallinn�s main square. St. Nicholas Church is a 13th-century landmark exhibiting ecclesiastical art.",http://www.pissup.com/wp-content/uploads/1970/01/rsz_tallinn_-_ariel_shot.jpg,,"Tallinn, Estonia  is capital on the Baltic Sea, is the country  is cultural hub. It retains its walled, cobblestoned Old Town, home to cafes and shops, as well as Kiek in de K_k, a 15th-century defensive tower. Its Gothic Town Hall, built in the 13th century and with a 64m-high tower, sits in historic Tallinn  is main square. St. Nicholas Church is a 13th-century landmark exhibiting ecclesiastical art."
59,Las Vegas, United States, NV,165.12,145.23,44.2,64.37,71.63,2.41,38.54,50.11,57.18,"Las Vegas, in Nevada�s Mojave Desert, is a resort city famed for its vibrant nightlife, centered around 24-hour casinos and other entertainment options. Its main street and focal point is the Strip, just over 4 miles long. This boulevard is home to themed hotels with elaborate displays such as fountains synchronized to music as well as replicas of an Egyptian pyramid, the Venetian Grand Canal, and the Eiffel Tower.",https://vegasgirlsnightout.com/wp-content/uploads/2016/01/vegas-burj-al-arab.jpg,,"Las Vegas, in Nevada  is Mojave Desert, is a resort city famed for its vibrant nightlife, centered around 24-hour casinos and other entertainment options. Its main street and focal point is the Strip, just over 4 miles long. This boulevard is home to themed hotels with elaborate displays such as fountains synchronized to music as well as replicas of an Egyptian pyramid, the Venetian Grand Canal, and the Eiffel Tower."
60,Taipei, Taiwan,,165.08,119.79,84.24,84.69,66.23,15.63,31.45,47.74,35.2,"Taipei, the capital of Taiwan, is a modern metropolis with Japanese colonial lanes, busy shopping streets and contemporary buildings. The skyline is crowned by the 509m-tall, bamboo-shaped Taipei 101 skyscraper, with upscale shops at the base and a rapid elevator to an observatory near the top. Taipei is also known for its lively street-food scene and many night markets, including expansive Shilin market.",https://www.dentons.com/-/media/images/website/background-images/offices/taipei/taipei_city_1900x1500px.jpg,,"Taipei, the capital of Taiwan, is a modern metropolis with Japanese colonial lanes, busy shopping streets and contemporary buildings. The skyline is crowned by the 509m-tall, bamboo-shaped Taipei 101 skyscraper, with upscale shops at the base and a rapid elevator to an observatory near the top. Taipei is also known for its lively street-food scene and many night markets, including expansive Shilin market."
61,Madrid, Spain,,164.94,85.18,68.54,78.3,60.49,11.27,38.09,54.94,88.62,"Madrid, Spain's central capital, is a city of elegant boulevards and expansive, manicured parks such as the Buen Retiro. It�s renowned for its rich repositories of European art, including the Prado Museum�s works by Goya, Vel�zquez and other Spanish masters. The heart of old Hapsburg Madrid is the portico-lined Plaza Mayor, and nearby is the baroque Royal Palace and Armory, displaying historic weaponry.",https://www.spain-internship.com/images/internshipmadrid.jpg,,"Madrid, Spain's central capital, is a city of elegant boulevards and expansive, manicured parks such as the Buen Retiro. It  is renowned for its rich repositories of European art, including the Prado Museum  is works by Goya, Vel�zquez and other Spanish masters. The heart of old Hapsburg Madrid is the portico-lined Plaza Mayor, and nearby is the baroque Royal Palace and Armory, displaying historic weaponry."
62,Zagreb, Croatia,,164.21,67.14,71.39,68.05,48.57,11.12,31.34,36.35,70.35,"Zagreb, Croatia�s northwestern capital, is distinguished by its 18th- and 19th-century Austro-Hungarian architecture. At its center, Upper Town is the site of the Gothic, twin-spired Zagreb Cathedral and 13th-century St. Mark�s Church, with a colorfully tiled roof. Nearby is pedestrian-friendly Tkal_i_eva Street, lined with outdoor cafes. Lower Town has the main square, Ban Jela_i_, plus shops, museums and parks.",https://media.timeout.com/images/102323759/image.jpg,,"Zagreb, Croatia  is northwestern capital, is distinguished by its 18th- and 19th-century Austro-Hungarian architecture. At its center, Upper Town is the site of the Gothic, twin-spired Zagreb Cathedral and 13th-century St. Mark  is Church, with a colorfully tiled roof. Nearby is pedestrian-friendly Tkal_i_eva Street, lined with outdoor cafes. Lower Town has the main square, Ban Jela_i_, plus shops, museums and parks."
63,Cape Town, South Africa,,163.83,86.13,29.07,73.11,44.05,6.2,42.12,39.95,96.6,"Cape Town is a port city on South Africa�s southwest coast, on a peninsula beneath the imposing Table Mountain. Slowly rotating cable cars climb to the mountain�s flat top, from which there are sweeping views of the city, the busy harbor and boats heading for Robben Island, the notorious prison that once held Nelson Mandela, which is now a living museum.",https://capetown-airport.co.za/wp-content/uploads/2016/03/capetownairporthome.jpg,,"Cape Town is a port city on South Africa  is southwest coast, on a peninsula beneath the imposing Table Mountain. Slowly rotating cable cars climb to the mountain  is flat top, from which there are sweeping views of the city, the busy harbor and boats heading for Robben Island, the notorious prison that once held Nelson Mandela, which is now a living museum."
64,San Francisco, United States, CA,163.49,96.76,49.7,68.6,99.14,12.11,39.78,36.29,97.02,"San Francisco, in northern California, is a hilly city on the tip of a peninsula surrounded by the Pacific Ocean and San Francisco Bay. It's known for its year-round fog, iconic Golden Gate Bridge, cable cars and colorful Victorian houses. The Financial District's Transamerica Pyramid is its most distinctive skyscraper. In the bay sits Alcatraz Island, site of the notorious former prison.",http://cdn-image.travelandleisure.com/sites/default/files/styles/1600x1000/public/1444253482/DG2015-san-francisco.jpg?itok=MdRJm2Zo,,"San Francisco, in northern California, is a hilly city on the tip of a peninsula surrounded by the Pacific Ocean and San Francisco Bay. It's known for its year-round fog, iconic Golden Gate Bridge, cable cars and colorful Victorian houses. The Financial District's Transamerica Pyramid is its most distinctive skyscraper. In the bay sits Alcatraz Island, site of the notorious former prison."
65,Montreal, Canada,,163.44,103.16,64.99,61.93,71.16,6.49,40.91,32.3,55.23,"Montr_al is the largest city in Canada's Qu_bec province. It�s set on an island in the Saint Lawrence River and named after Mt. Royal, the triple-peaked hill at its heart. Its boroughs, many of which were once independent cities, include neighbourhoods ranging from cobblestoned, French colonial Vieux-Montr_al _ with the Gothic Revival Notre-Dame Basilica at its centre _ to bohemian Plateau.",http://www.hypnosis2018.com/en/wp-content/uploads/2016/06/montreal-venues.jpg,,"Montr_al is the largest city in Canada's Qu_bec province. It  is set on an island in the Saint Lawrence River and named after Mt. Royal, the triple-peaked hill at its heart. Its boroughs, many of which were once independent cities, include neighbourhoods ranging from cobblestoned, French colonial Vieux-Montr_al _ with the Gothic Revival Notre-Dame Basilica at its centre _ to bohemian Plateau."
66,Phoenix, United States, AZ,162.2,146.53,43.14,73.11,69.08,2.58,29.17,62.23,50.48,"Phoenix is the capital of the southwestern U.S. state of Arizona. Known for its year-round sun and warm temperatures, it anchors a sprawling, multicity metropolitan area known as the Valley of the Sun. It's known for high-end spa resorts, Jack Nicklaus_designed golf courses and vibrant nightclubs. Other highlights include the Desert Botanical Garden, displaying cacti and numerous native plants.",http://static.tumblr.com/18f9362e13b76fb0496fed3dbe62050d/adq8a5f/pzlneqhyz/tumblr_static_1s3qr923bx5w8wc804gk0gw4o.jpg,,"Phoenix is the capital of the southwestern U.S. state of Arizona. Known for its year-round sun and warm temperatures, it anchors a sprawling, multicity metropolitan area known as the Valley of the Sun. It's known for high-end spa resorts, Jack Nicklaus_designed golf courses and vibrant nightclubs. Other highlights include the Desert Botanical Garden, displaying cacti and numerous native plants."
67,Houston, United States, TX,161.36,150.24,37.31,74.39,75.4,1.93,43.51,57.12,59.4,"Houston is a large metropolis in Texas, extending to Galveston Bay. It�s closely linked with the Space Center Houston, the coastal visitor center at NASA�s astronaut training and flight control complex. The city�s relatively compact Downtown includes the Theater District, home to the renowned Houston Grand Opera, and the Historic District, with 19th-century architecture and upscale restaurants.",https://assets3.thrillist.com/v1/image/1386839/size/tmg-slideshow_l.jpg,,"Houston is a large metropolis in Texas, extending to Galveston Bay. It  is closely linked with the Space Center Houston, the coastal visitor center at NASA  is astronaut training and flight control complex. The city  is relatively compact Downtown includes the Theater District, home to the renowned Houston Grand Opera, and the Historic District, with 19th-century architecture and upscale restaurants."
68,Philadelphia, United States, PA,161.05,129.65,40.91,69.9,86.35,2.58,41.71,50.88,70.79,"Philadelphia, Pennsylvania�s largest city, is notable for its rich history, on display at the Liberty Bell, Independence Hall (where the Declaration of Independence and Constitution were signed) and other American Revolutionary sites. Also iconic are the steps of the Philadelphia Museum of Art, immortalized by Sylvester Stallone�s triumphant run in the film ""Rocky.""",https://s-media-cache-ak0.pinimg.com/originals/7d/75/4d/7d754d34ac48ecebfb2bc46e15dae253.jpg,,"Philadelphia, Pennsylvania  is largest city, is notable for its rich history, on display at the Liberty Bell, Independence Hall (where the Declaration of Independence and Constitution were signed) and other American Revolutionary sites. Also iconic are the steps of the Philadelphia Museum of Art, immortalized by Sylvester Stallone  is triumphant run in the film ""Rocky."""
